race,Imperial,Los Angeles,Orange,Riverside,San Bernardino,Ventura,SCAG
Asian/Pacific Islander,1.33,14.76,21.37,6.77,7.56,7.32,13.56
Black,2.47,7.69,1.57,6.18,7.61,1.7,6.13
Hispanic/Latino,85.04,48.7,34.02,50.28,54.59,43.3,47.2
Multiracial/Other,0.66,3.18,3.86,3.22,3.31,3.29,3.29
Native American,0.69,0.2,0.15,0.35,0.31,0.22,0.23
White,9.8,25.47,39.03,33.21,26.62,44.17,29.58
