county,Asian/Pacific Islander,Black,Hispanic/Latino,Multiracial/Other,Native American,White,Total
Imperial,22.67,10.75,15.5,18.55,13.29,22.5,15.85
Los Angeles,25.04,21.49,16.12,25.3,21.47,29.43,20.29
Orange,27.97,24.7,17.52,28.69,24.09,32.24,24.7
Riverside,23.77,23.14,17.65,23.14,17.48,26.27,20.59
San Bernardino,24.28,20.59,17.71,21,18.76,24.71,20.07
Ventura,31.36,25.23,16.8,27.79,27.33,29.71,22.56
SCAG,25.72,21.51,16.76,25.3,20.91,29.16,21.02
